idDiscipline;idEdition
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
9;2
109;2
1;9
2;9
3;9
4;9
5;9
6;9
7;9
8;9
101;9
102;9
103;9
104;9
105;9
106;9
107;9
108;9
1;8
2;8
3;8
4;8
5;8
6;8
7;8
8;8
101;8
102;8
103;8
104;8
105;8
106;8
107;8
108;8
1;7
2;7
3;7
4;7
5;7
6;7
7;7
8;7
101;7
102;7
103;7
104;7
105;7
106;7
107;7
108;7
1;6
2;6
3;6
4;6
5;6
6;6
7;6
8;6
101;6
102;6
103;6
104;6
105;6
106;6
107;6
108;6
1;5
2;5
3;5
4;5
5;5
6;5
7;5
8;5
101;5
102;5
103;5
104;5
105;5
106;5
107;5
108;5
1;4
2;4
3;4
4;4
5;4
6;4
7;4
8;4
101;4
102;4
103;4
104;4
105;4
106;4
107;4
108;4
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;3
101;3
102;3
103;3
104;3
105;3
106;3
107;3
108;3
